variant,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,fallback_share,n_months,n_pairwise_excl_zero,n_changes_on_refit_dates
k2,0.20637752512387034,0.110661308352653,-0.09571621677121733,-0.29857153786268675,0.11789434243159422,0.7695,0.02815619558971527,0.18604651162790697,257,2,3
k3,0.20637752512387034,0.1793776361703785,-0.02699988895349184,-0.22785526600215658,0.17096286363762273,0.5865,0.043991741037531625,0.27906976744186046,257,1,9
k4,0.20637752512387034,0.10389034301321981,-0.10248718211065053,-0.29587171696650744,0.08423125828260485,0.818,0.02862147070012629,0.3372093023255814,257,4,10
