statistic,full_value,loo_min,loo_max,n_sign_flips,share_sign_flips,trimmed_value,n_months
headline_diff,-0.02699988895349184,-0.04994693130612113,0.012667491845668094,1,0.0038910505836575876,0.04429430035617202,257
umd_0_2_sharpe_diff,-1.0240935385229961,-1.156142418422263,-0.822955290637516,0,0.0,-1.2090430514110453,197
