date,p0,p1,p2,refit_date
2004-12-31,1.0,6.845522646609555e-251,0.0,2004-12-31
2005-01-31,1.0,3.5945698821231164e-245,0.0,2004-12-31
2005-02-28,1.0,8.39468935288584e-239,2e-323,2004-12-31
2005-03-31,1.0,3.252796984047711e-232,4.377e-321,2004-12-31
2005-04-30,1.0,5.201794876592784e-231,8.58859497e-315,2004-12-31
2005-05-31,1.0,3.385867237516164e-232,1e-323,2004-12-31
2005-06-30,1.0,3.820500112147208e-229,9.8863e-320,2004-12-31
2005-07-31,1.0,1.2400629948418439e-229,9.757212790850637e-299,2004-12-31
2005-08-31,1.0,3.0616231941199963e-226,2.4413352107162e-310,2004-12-31
2005-09-30,1.0,1.1807782399725059e-226,8.676936653167759e-307,2004-12-31
2005-10-31,1.0,5.273816131792214e-224,0.0,2004-12-31
2005-11-30,1.0,3.644904573921354e-231,1.5e-323,2004-12-31
2005-12-31,3.3832178831195794e-05,0.9999661678211688,5.122274034372947e-56,2005-12-31
2006-01-31,5.7890841102824694e-05,0.9999421091588973,1.6104717892581907e-46,2005-12-31
2006-02-28,1.9503480179004143e-05,0.999980496519821,2.7788724366847308e-42,2005-12-31
2006-03-31,6.4049253826263125e-06,0.9999935950746174,4.9475532590067754e-46,2005-12-31
2006-04-30,2.0665510477312988e-09,0.999999997933449,1.8164258285754192e-54,2005-12-31
2006-05-31,3.171932555108893e-19,1.0,5.371241308351213e-54,2005-12-31
2006-06-30,1.607865435982329e-16,0.9999999999999999,3.6034444731653506e-56,2005-12-31
2006-07-31,3.2480531388707987e-15,0.9999999999999968,1.6982105693507948e-52,2005-12-31
2006-08-31,2.1137437822786066e-12,0.9999999999978864,9.86886481428265e-48,2005-12-31
2006-09-30,1.1174356338218053e-11,0.9999999999888257,1.2339857556794494e-43,2005-12-31
2006-10-31,4.124096366572151e-13,0.9999999999995876,7.417671015610496e-37,2005-12-31
2006-11-30,1.738739245746857e-15,0.9999999999999983,1.0590349432002936e-42,2005-12-31
2006-12-31,0.9999999999999397,6.033345527564832e-14,1.0301204119875087e-166,2006-12-31
2007-01-31,0.9999999996484802,3.5151976656575284e-10,5.425960057096706e-163,2006-12-31
2007-02-28,0.996005157860019,0.0039948421399810564,2.502227593357216e-170,2006-12-31
2007-03-31,0.970608918000055,0.029391081999945043,1.8113124029611592e-158,2006-12-31
2007-04-30,0.9390500370779354,0.06094996292206458,6.653722259530089e-160,2006-12-31
2007-05-31,0.9361382434171306,0.06386175658286948,4.8777004550178495e-160,2006-12-31
2007-06-30,0.6571051086068141,0.34289489139318585,5.5673919654203825e-167,2006-12-31
2007-07-31,0.0005852517727310096,0.999414748227269,3.234563411483399e-177,2006-12-31
2007-08-31,0.0003709806648327796,0.9996290193351671,9.123218390821383e-178,2006-12-31
2007-09-30,0.6649933217081211,0.33500667829187897,4.4067432908971105e-166,2006-12-31
2007-10-31,0.9857439088375458,0.014256091162454182,9.805827051162586e-173,2006-12-31
2007-11-30,0.9999999999619976,3.80023859111823e-11,3.9161292231651085e-188,2006-12-31
2007-12-31,0.999999994075497,5.92450303065607e-09,8.13162334507025e-72,2007-12-31
2008-01-31,1.0,1.617838364381704e-17,8.71193766555641e-87,2007-12-31
2008-02-29,1.0,1.4921256749012066e-27,1.0685581559907412e-101,2007-12-31
2008-03-31,1.0,6.59868390980362e-23,1.2799605777812125e-106,2007-12-31
2008-04-30,0.9999999999999931,6.904983493172908e-15,1.7347545758462143e-92,2007-12-31
2008-05-31,0.9999999929598541,7.040145913098477e-09,1.6031461207117247e-80,2007-12-31
2008-06-30,0.9999999976187381,2.3812618229950592e-09,1.690138715141291e-82,2007-12-31
2008-07-31,0.9999999998601266,1.398734432888529e-10,1.4156110142933772e-86,2007-12-31
2008-08-31,0.9999975360597039,2.4639402961132423e-06,7.405681678873442e-95,2007-12-31
2008-09-30,0.9999999999999998,2.212347124560509e-16,1.3703621437312703e-94,2007-12-31
2008-10-31,1.0,3.0256650403918885e-34,1.0481261975175978e-106,2007-12-31
2008-11-30,1.0,7.094142286456608e-29,1.9799466421481934e-125,2007-12-31
