date,p0,p1
1991-01-31,0.0,1.0
1991-02-28,3.948130147603383e-31,1.0
1991-03-31,2.935518119427515e-30,1.0
1991-04-30,4.772880085496856e-31,1.0
1991-05-31,2.0133924821351396e-29,1.0
1991-06-30,7.71021494476804e-31,1.0
1991-07-31,1.5684686053131562e-30,1.0
1991-08-31,2.5733561654326685e-30,1.0
1991-09-30,2.201083180323742e-28,1.0
1991-10-31,3.1018143334170375e-27,1.0
1991-11-30,3.648732819625586e-25,1.0
1991-12-31,3.52402471753163e-20,1.0
1992-01-31,7.239289650146918e-25,1.0
1992-02-29,2.7278315492308177e-24,1.0
1992-03-31,8.416446972418219e-27,1.0
1992-04-30,2.1680784005194705e-27,1.0
1992-05-31,6.888255292241253e-25,1.0
1992-06-30,5.456003957624306e-24,1.0
1992-07-31,4.7273903924069544e-21,1.0
1992-08-31,2.1497993589349686e-18,1.0
1992-09-30,1.011922172168327e-15,1.0
1992-10-31,2.1759854060389255e-18,1.0
1992-11-30,1.599401357225321e-19,1.0
1992-12-31,8.329096901485941e-16,1.0
1993-01-31,2.6627397197441898e-17,1.0
1993-02-28,4.4359064485931744e-15,1.0
1993-03-31,1.3168524723709383e-15,1.0
1993-04-30,6.630854001560122e-16,1.0
1993-05-31,2.5938020587671024e-15,1.0
1993-06-30,1.3932118413393696e-13,1.0
1993-07-31,3.717526472863338e-12,0.999999999996362
1993-08-31,2.920929168398532e-10,0.9999999997080522
1993-09-30,2.390009532110602e-09,0.9999999976098479
1993-10-31,6.428453556635911e-11,0.9999999999358806
1993-11-30,7.952236340785228e-13,0.9999999999990905
1993-12-31,3.271890484900753e-12,0.9999999999968168
1994-01-31,1.525736251484281e-10,0.9999999998472049
1994-02-28,1.3673138513498022e-12,0.9999999999986358
1994-03-31,4.0467055023345674e-17,1.0
1994-04-30,2.5312269523579412e-18,1.0
1994-05-31,7.013399582252395e-19,1.0
1994-06-30,2.084956774180485e-20,1.0
1994-07-31,2.38925970259112e-17,1.0
1994-08-31,5.1038055693899264e-18,1.0
1994-09-30,9.86059043161306e-23,1.0
1994-10-31,9.72789116479498e-25,1.0
1994-11-30,2.1558220569302907e-27,1.0
1994-12-31,9.745356652503743e-26,1.0
1995-01-31,1.5505095914616849e-22,1.0
1995-02-28,3.306273164682024e-19,1.0
1995-03-31,7.412055667652312e-20,1.0
1995-04-30,4.431763397384005e-19,1.0
1995-05-31,1.3293833658136823e-14,1.0
1995-06-30,1.0342026710165212e-14,1.0
1995-07-31,2.3256692732795985e-16,1.0
1995-08-31,9.524613288498316e-15,1.0
1995-09-30,1.1679891839402733e-15,1.0
1995-10-31,1.822819586871427e-15,1.0
1995-11-30,8.135188967927554e-14,1.0
1995-12-31,7.86967275299395e-13,0.9999999999990905
1996-01-31,9.144727248099355e-13,0.9999999999990905
1996-02-29,1.2479324581644782e-13,1.0
1996-03-31,1.119375748837188e-15,1.0
1996-04-30,1.8376491833164076e-16,1.0
1996-05-31,1.3847008065549359e-16,1.0
1996-06-30,7.912646125762761e-15,1.0
1996-07-31,5.0321880271906955e-18,1.0
1996-08-31,2.1180669214416938e-18,1.0
1996-09-30,2.737343082030949e-16,1.0
1996-10-31,6.265385366742555e-14,1.0
1996-11-30,1.0840099799441623e-11,0.9999999999890861
1996-12-31,1.2595694828457867e-14,1.0
1997-01-31,6.6297601630676724e-15,1.0
1997-02-28,6.978487257453514e-17,1.0
1997-03-31,5.764549330260306e-20,1.0
1997-04-30,3.2561337031688895e-19,1.0
1997-05-31,1.6582153299338511e-18,1.0
1997-06-30,7.382241750647743e-18,1.0
1997-07-31,1.1547236632779205e-14,1.0
1997-08-31,2.1493435731068197e-17,1.0
1997-09-30,1.866679360522278e-15,1.0
1997-10-31,5.204270598217369e-15,1.0
1997-11-30,3.596301897826522e-14,1.0
1997-12-31,3.2710260528442227e-13,0.9999999999995453
1998-01-31,6.139759280364944e-12,0.9999999999936335
1998-02-28,2.6870593731541506e-12,0.9999999999972715
1998-03-31,1.1362429565647634e-13,1.0
1998-04-30,4.3843821695692576e-13,0.9999999999995453
1998-05-31,4.904423893397989e-12,0.9999999999949978
1998-06-30,8.200321943628104e-11,0.9999999999181455
1998-07-31,1.6958966358215805e-11,0.9999999999831743
1998-08-31,5.643650109325461e-10,0.9999999994356585
1998-09-30,3.683124271739359e-07,0.9999996316874554
1998-10-31,9.230972641525981e-07,0.9999990769028668
1998-11-30,3.5635645336128864e-08,0.9999999643641793
1998-12-31,1.2714805652468724e-07,0.9999998728517393
1999-01-31,1.2200200288062108e-07,0.9999998779981144
1999-02-28,6.649656303361347e-10,0.9999999993351594
1999-03-31,1.3999973485626729e-08,0.9999999860001481
1999-04-30,1.7056410579736384e-08,0.9999999829437912
1999-05-31,2.786073776770466e-10,0.9999999997212399
1999-06-30,5.866787040256005e-10,0.9999999994133759
1999-07-31,3.4796367074472417e-11,0.9999999999649845
1999-08-31,1.82151323376251e-11,0.9999999999818101
1999-09-30,4.203309126759545e-11,0.9999999999581632
1999-10-31,2.3773672836307506e-11,0.9999999999763531
1999-11-30,2.8266653886473232e-12,0.9999999999972715
1999-12-31,7.269279041595306e-15,1.0
2000-01-31,1.937956413530371e-17,1.0
2000-02-29,2.7179808142514044e-15,1.0
2000-03-31,1.284523884384283e-13,1.0
2000-04-30,8.76823470780562e-15,1.0
2000-05-31,1.630582450062296e-14,1.0
2000-06-30,1.4880809453153842e-12,0.9999999999986358
2000-07-31,9.276469274896305e-14,1.0
2000-08-31,2.13946767925754e-10,0.9999999997862687
2000-09-30,2.258742113284863e-12,0.9999999999977263
2000-10-31,2.876635700173294e-13,0.9999999999995453
2000-11-30,1.6145962829161028e-12,0.999999999998181
2000-12-31,1.326696001087635e-09,0.999999998673502
2001-01-31,1.1792594381271875e-09,0.9999999988208401
2001-02-28,8.368467260482082e-08,0.9999999163151223
2001-03-31,2.5680624946027657e-07,0.9999997431937447
2001-04-30,2.632034872682851e-08,0.9999999736796784
2001-05-31,3.670719631279383e-05,0.9999632928036309
2001-06-30,0.059369055403460776,0.9406309445964414
2001-07-31,0.7773553654394372,0.22264463456042055
2001-08-31,0.9992944859425519,0.0007055140575171771
2001-09-30,0.9999999999886313,1.1162080764768199e-11
2001-10-31,1.0,5.9193001060015e-14
2001-11-30,1.0,1.4502520172588033e-13
2001-12-31,1.0,1.6973402606676356e-14
2002-01-31,1.0,1.3807338488928345e-16
2002-02-28,1.0,5.796283239757009e-14
2002-03-31,0.9999999981023393,1.8977011078466656e-09
2002-04-30,0.9999998371140596,1.628857489551677e-07
2002-05-31,0.9999957645494415,4.235450648341949e-06
2002-06-30,0.999999972674232,2.7325833329182235e-08
2002-07-31,0.9999999999686224,3.1492945210144045e-11
2002-08-31,0.9999999999986358,1.289618536926923e-12
2002-09-30,0.9999999999995453,2.8408474272815613e-13
2002-10-31,1.0,1.967221838142063e-13
2002-11-30,0.9999999999581632,4.177437667760656e-11
2002-12-31,1.0,1.787650834760455e-13
2003-01-31,1.0,1.0943348288895545e-15
2003-02-28,1.0,1.2417632040017057e-15
2003-03-31,0.9999999999990905,9.143371873040031e-13
2003-04-30,0.999999999744432,2.556252646918313e-10
2003-05-31,0.9999999999613465,3.873991501585259e-11
2003-06-30,1.0,6.409869511339198e-14
2003-07-31,1.0,6.131944899488506e-17
2003-08-31,1.0,1.3877418726489784e-14
2003-09-30,1.0,1.0126558777968236e-14
2003-10-31,0.9999999999986358,1.3834892691059128e-12
2003-11-30,0.9999999999868123,1.3194649308805996e-11
2003-12-31,1.0,8.231894284946995e-15
2004-01-31,0.9999999999995453,2.7049057952080526e-13
2004-02-29,0.9999999999840838,1.5790841002348226e-11
2004-03-31,0.9999999999754436,2.4491738704246e-11
2004-04-30,0.9999999994838618,5.159528992248637e-10
2004-05-31,0.999999998617568,1.3824501296972948e-09
2004-06-30,0.9999999831375136,1.686268164786857e-08
2004-07-31,0.9999999603405748,3.965954210499361e-08
2004-08-31,0.9999999792607925,2.0739324159888443e-08
2004-09-30,0.9999999975980245,2.401898655441009e-09
2004-10-31,0.9999999995720827,4.2778030587167746e-10
2004-11-30,0.9999999046276616,9.537214915550453e-08
2004-12-31,0.9999989689313993,1.0310686711897902e-06
2005-01-31,0.9999978701071031,2.129892726447316e-06
2005-02-28,0.9999984364493175,1.5635505797849138e-06
2005-03-31,0.9999950276392996,4.972360700439444e-06
2005-04-30,0.9999819014161216,1.8098583673023008e-05
2005-05-31,0.9999969198981631,3.0801020025905677e-06
2005-06-30,0.9999885467451494,1.1453254643569387e-05
2005-07-31,0.9999345235983069,6.547640158086663e-05
