restart,seed,lower_bound,n_iter,converged
0,20260917,-8.077223027823251,17,True
1,20260918,-8.43277466010583,28,True
2,20260919,-7.650781984451196,26,True
3,20260920,-8.21155902165678,24,True
4,20260921,-7.650781984451196,26,True
5,20260922,-8.427610850792638,10,True
6,20260923,-7.650731439072501,24,True
7,20260924,-8.52667880816486,21,True
8,20260925,-7.650778100152844,20,True
9,20260926,-7.650731439072501,24,True
10,20260927,-8.43277466010583,28,True
11,20260928,-8.611622205321638,12,True
12,20260929,-8.522178160583087,16,True
13,20260930,-7.4729751413966925,11,True
14,20260931,-8.211555419814696,18,True
15,20260932,-8.476881646449446,23,True
16,20260933,-7.650781984451196,26,True
17,20260934,-8.086880141454301,17,True
18,20260935,-8.077223027823251,17,True
19,20260936,-7.708330298656121,11,True
