eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,n_months
0.25,0,10,hmm_filtered,0.2117096456711808,0.21112223958809218,-0.0005874060830886318,-0.08532902081992436,0.08095282610807734,0.514,0.01705138398730389,258
0.25,0,10,hmm_smoothed,0.2117096456711808,0.2643640981203648,0.052654452449184014,-0.016122752167654998,0.13134656566587943,0.1015,0.017459470211613586,258
0.25,0,20,hmm_filtered,0.2117096456711808,0.20631611398074368,-0.005393531690437131,-0.09054968430935238,0.07517673482341897,0.5525,0.01705138398730389,258
0.25,0,20,hmm_smoothed,0.2117096456711808,0.2596028420527819,0.04789319638160108,-0.020919233020517843,0.12651652442618505,0.124,0.017459470211613586,258
0.25,0,50,hmm_filtered,0.2117096456711808,0.19189216044390725,-0.019817485227273557,-0.10480198139162594,0.060463727880089725,0.6565,0.01705138398730389,258
0.25,0,50,hmm_smoothed,0.2117096456711808,0.2453016456495106,0.03359199997832979,-0.035494815282764436,0.1112101206242153,0.203,0.017459470211613586,258
0.25,1,10,hmm_filtered,0.20637752512387034,0.2133379890024826,0.006960463878612266,-0.0807210337219276,0.09740313902235896,0.4305,0.016971670125627787,257
0.25,1,10,hmm_smoothed,0.20637752512387034,0.22308477111401365,0.01670724599014331,-0.06227761276313052,0.10696199025066697,0.347,0.017458276211770752,257
0.25,1,20,hmm_filtered,0.20637752512387034,0.2086322270578565,0.002254701933986164,-0.08493476486601713,0.09287323713585673,0.4645,0.016971670125627787,257
0.25,1,20,hmm_smoothed,0.20637752512387034,0.21828399352618585,0.011906468402315518,-0.06730073782933595,0.10139742836213383,0.382,0.017458276211770752,257
0.25,1,50,hmm_filtered,0.20637752512387034,0.19449910028055606,-0.011878424843314278,-0.09918548880571687,0.07632773954774318,0.574,0.016971670125627787,257
0.25,1,50,hmm_smoothed,0.20637752512387034,0.203893804856102,-0.00248372026776833,-0.08083457471880738,0.08727155803910232,0.5065,0.017458276211770752,257
0.5,0,10,hmm_filtered,0.2117096456711808,0.19584758030325228,-0.01586206536792853,-0.19509740946474988,0.14971637230918333,0.565,0.034102767974607776,258
0.5,0,10,hmm_smoothed,0.2117096456711808,0.2983312766440532,0.08662163097287237,-0.046037461693406286,0.23785261926471898,0.143,0.03491894042322717,258
