factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,-0.1461164228138484,-1.2711929132942033,1.1787326666615503,False,74,55
Mkt-RF,0,2,-0.5809867080572463,-1.6270667581752702,0.5449134021478877,False,74,79
Mkt-RF,0,3,-1.152342793503358,-2.1596821790682035,-0.038015418034941684,True,74,50
Mkt-RF,1,2,-0.4348702852433979,-1.6538472420310832,0.702340742663017,False,55,79
Mkt-RF,1,3,-1.0062263706895096,-2.077679693946244,-0.027726387025491857,True,55,50
Mkt-RF,2,3,-0.5713560854461117,-1.6809458975679321,0.4863088515891188,False,79,50
SMB,0,1,-0.7405624855964485,-1.6539256686047017,0.13514150000227654,False,74,55
SMB,0,2,-0.3237213131277922,-1.106871602520235,0.4244784374396835,False,74,79
SMB,0,3,-0.6279856269705544,-1.7362160106880768,0.49441895127489494,False,74,50
SMB,1,2,0.4168411724686563,-0.49279511566605066,1.379147833195505,False,55,79
SMB,1,3,0.11257685862589412,-1.3287921675812284,1.5168108812331236,False,55,50
SMB,2,3,-0.3042643138427622,-1.4946485791959443,0.8288490577191874,False,79,50
HML,0,1,-0.03682131864956484,-1.073375662897551,1.1324258577582136,False,74,55
HML,0,2,0.2924286950174318,-0.6428303720978643,1.3337217210008683,False,74,79
HML,0,3,0.7027933505465105,-0.6165226557401939,1.6874387990914257,False,74,50
HML,1,2,0.32925001366699663,-0.7673943665985704,1.467589029906152,False,55,79
HML,1,3,0.7396146691960752,-0.5851064472354954,1.6328593104932934,False,55,50
HML,2,3,0.41036465552907864,-1.0230648145228698,1.433025981116236,False,79,50
RMW,0,1,-0.005109147639648093,-0.9212288423418513,1.0203948466252997,False,74,55
RMW,0,2,0.058024753344755486,-0.7385383102761981,0.9821081110313208,False,74,79
RMW,0,3,0.8534878776360919,-0.11645899488671885,1.8934792050202396,False,74,50
RMW,1,2,0.06313390098440358,-0.8888736207096979,1.0908642444845764,False,55,79
RMW,1,3,0.85859702527574,-0.2727900660562443,2.0088231060607002,False,55,50
RMW,2,3,0.7954631242913365,-0.2971390066085414,1.86097034064654,False,79,50
CMA,0,1,-0.14342297875854904,-1.0595091800051775,0.8284866243667153,False,74,55
CMA,0,2,-0.905880316001676,-1.6674867021114954,-0.049272093832676216,True,74,79
CMA,0,3,0.5797331342304222,-0.5374820799741167,1.5901543798897204,False,74,50
CMA,1,2,-0.7624573372431269,-1.715950143005653,0.2216790262047494,False,55,79
CMA,1,3,0.7231561129889712,-0.3969394753793223,1.780967987024112,False,55,50
CMA,2,3,1.4856134502320981,0.2847331425972789,2.4827744896491595,True,79,50
UMD,0,1,-0.18783178646899457,-1.421322651673153,0.7347687507272964,False,74,55
UMD,0,2,-0.09540727534508511,-1.2515852240691199,0.7101957447496599,False,74,79
UMD,0,3,1.551678483683125,0.20874285992393166,2.76946340283906,True,74,50
UMD,1,2,0.09242451112390945,-0.784760334438909,0.8864816775327894,False,55,79
UMD,1,3,1.7395102701521195,0.49034288516097485,3.0369308540622235,True,55,50
UMD,2,3,1.64708575902821,0.429110850967646,2.9297722800712487,True,79,50
