restart,seed,loglik,n_iter,converged
0,20260917,-1266.0696575568304,60,True
1,20260918,-1032.327966666382,13,True
2,20260919,-1120.0873925037372,27,True
3,20260920,-1062.0805710373431,14,True
4,20260921,-1034.8678875476971,42,True
5,20260922,-1035.7614965371774,15,True
6,20260923,-1241.610505608386,23,True
7,20260924,-1126.3230786005038,46,True
8,20260925,-1032.327961847387,21,True
9,20260926,-1060.3149225835243,46,True
10,20260927,-1245.051870852861,21,True
11,20260928,-1066.3919046204694,19,True
12,20260929,-1035.7615912093368,16,True
13,20260930,-1020.6750377597986,44,True
14,20260931,-1084.6088633117483,23,True
15,20260932,-1077.6162771887045,27,True
16,20260933,-1119.5253436565743,32,True
17,20260934,-1130.701213533992,36,True
18,20260935,-989.8971025645969,57,True
19,20260936,-1057.3384061023637,50,True
