restart,seed,lower_bound,n_iter,converged
0,20260917,-9.298866584910147,48,True
1,20260918,-9.371391320719638,24,True
2,20260919,-9.441383549603811,10,True
3,20260920,-9.699966487436143,24,True
4,20260921,-9.298855985149526,47,True
5,20260922,-9.834310942982837,19,True
6,20260923,-9.298866584910147,48,True
7,20260924,-9.298855811853043,55,True
8,20260925,-9.298855985149526,47,True
9,20260926,-9.699945092373557,24,True
10,20260927,-9.298855985149526,47,True
11,20260928,-9.699966487436143,24,True
12,20260929,-9.394312124861159,31,True
13,20260930,-9.394314188602431,24,True
14,20260931,-9.298855985149528,47,True
15,20260932,-9.298855985149526,47,True
16,20260933,-9.316861380821926,64,True
17,20260934,-9.298858502630223,49,True
18,20260935,-9.298866584910147,48,True
19,20260936,-9.298871566003076,47,True
