factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,95,0.06517894736842106,0.14005793266245126,0.4653713369131797,-0.20220357334720424,-0.28921597837694396,1.4229272189514914,False
Mkt-RF,1,144,0.09381666666666666,0.15929634951779958,0.588944234759025,-0.07863067550135894,0.14430423595730368,1.098885218744028,True
Mkt-RF,2,19,0.349642105263158,0.1548582668346044,2.2578200854888255,1.5902451752284414,1.3488021647627109,3.3448877790482037,True
SMB,0,95,0.034282105263157885,0.09015091818318943,0.3802746101098559,0.4145092424427062,-0.17418198182311154,0.9168293135932687,False
SMB,1,144,-0.03220833333333334,0.08849912800987453,-0.3639395557630761,-0.3297049234302258,-0.7729434258799609,0.0661697599523441,False
SMB,2,19,0.029936842105263144,0.12186279025659474,0.2456602383896513,0.2798948707225016,-0.6970659956368949,1.337287585261877,False
HML,0,95,0.004256842105263155,0.08527651296842378,0.04991810707409412,0.07859829312600583,-0.5736260474724892,0.6503509179954182,False
HML,1,144,-0.0012416666666666732,0.12250894242133295,-0.010135314550315284,0.01854487150159642,-0.5415203598762048,0.47226248894605183,False
HML,2,19,-0.05488421052631582,0.12912804198960878,-0.42503711572372843,-0.39635692967181674,-1.9601374557159732,1.0021692701641158,False
RMW,0,95,0.0505263157894737,0.056574029234928803,0.8931008887427581,0.44596590430229915,0.27096623944261455,1.602559134589491,True
RMW,1,144,0.013175000000000001,0.07300189251785744,0.18047477326395586,-0.26666021117650307,-0.4512934922805243,0.7547803950473893,False
RMW,2,19,0.08867368421052632,0.12512041638554128,0.7087067544379856,0.2615717699975267,-0.7302661441816755,1.9709135574820003,False
CMA,0,95,-0.0042947368421052635,0.052336251110402944,-0.0820604600250321,-0.12326971881310098,-0.6830915921497754,0.5460571401529984,False
CMA,1,144,0.005800000000000003,0.07420348511220481,0.07816344463106668,0.036954185842997804,-0.46879636965781263,0.5385535428821903,False
CMA,2,19,0.015599999999999996,0.08969161982407646,0.17392929273212204,0.13272003394405316,-1.282635395494504,1.407530806127418,False
UMD,0,95,0.06416842105263157,0.12519071247693064,0.5125653475648692,0.39699827848200464,-0.08483755735551982,1.1428588310422256,False
UMD,1,144,0.00612500000000001,0.1653142447823902,0.03705064864835207,-0.07851642043451243,-0.5092379360851103,0.7920559992552052,False
UMD,2,19,-0.12663157894736843,0.18406779071566912,-0.6879616387800142,-0.8035287078628787,-1.6898756147074767,0.9351661757102567,False
