block_size,factor,state,n,ann_mean,ann_std,sharpe,sharpe_p05,sharpe_p95,excludes_zero
3,Mkt-RF,0,91,0.048303296703296694,0.1401954121304174,0.344542634949868,-0.2988602977715102,1.2696650424703322,False
3,Mkt-RF,1,61,0.14665573770491805,0.13490610237871523,1.0870949135660197,0.4741671784586606,1.7616490007223846,True
3,Mkt-RF,2,106,0.12267169811320754,0.17227358496145512,0.7120749135199942,0.15535608364928954,1.3468718931276351,True
3,SMB,0,91,-0.012975824175824182,0.08686370798882445,-0.14938142149646202,-0.7501402115879815,0.4385042758981113,False
3,SMB,1,61,-0.027639344262295095,0.10431076583388915,-0.26497115653728087,-0.9147418525694555,0.37582722467379587,False
3,SMB,2,106,0.019381132075471694,0.08912415471788719,0.21746216990018646,-0.39300362078349826,0.7932047158802125,False
3,HML,0,91,-0.03989010989010989,0.08671618596562528,-0.4600076611524695,-1.1069895135938266,0.1364266186146682,False
3,HML,1,61,0.02699016393442622,0.10678555375987557,0.2527510790000483,-0.45253078276611736,1.0647995555596708,False
3,HML,2,106,0.011003773584905657,0.12935907475327835,0.08506379321197786,-0.5307948484295169,0.6879673730852434,False
3,RMW,0,91,0.04854065934065935,0.05141816186877327,0.9440372346359301,0.25561024120044135,1.6575837790780918,True
3,RMW,1,61,-0.0009442622950819697,0.0991384106137293,-0.009524686639985352,-0.7273955328988095,0.6650867000552086,False
3,RMW,2,106,0.037947169811320756,0.07045688372055536,0.5385871160840158,-0.0166438711386728,1.1002818990487144,False
3,CMA,0,91,-0.01814505494505495,0.05079051972339812,-0.3572527913451515,-0.9657123495347002,0.1927690214302489,False
3,CMA,1,61,-0.027718032786885245,0.08769437165332865,-0.3160753907498137,-1.0066429992708785,0.3755648518545002,False
3,CMA,2,106,0.03835471698113207,0.06744352006621417,0.5686938781290846,-0.09802405335309892,1.1628205288402271,False
3,UMD,0,91,0.09437802197802198,0.1240030254859547,0.7610945104618578,0.2714472808341271,1.266106595868962,True
3,UMD,1,61,0.016583606557377048,0.13912091874620036,0.1192028251885734,-0.45309318273459814,0.8661842003157795,False
3,UMD,2,106,-0.04743396226415095,0.18035793749444648,-0.26299902806113823,-0.7635947187278623,0.491666082543886,False
6,Mkt-RF,0,91,0.048303296703296694,0.1401954121304174,0.344542634949868,-0.40693468769464536,1.3445658825754208,False
6,Mkt-RF,1,61,0.14665573770491805,0.13490610237871523,1.0870949135660197,0.5886144247030648,1.77361088088773,True
6,Mkt-RF,2,106,0.12267169811320754,0.17227358496145512,0.7120749135199942,0.1740417500643071,1.282781500710978,True
6,SMB,0,91,-0.012975824175824182,0.08686370798882445,-0.14938142149646202,-0.7127890029836654,0.42151585208336345,False
6,SMB,1,61,-0.027639344262295095,0.10431076583388915,-0.26497115653728087,-0.7665032100619606,0.3642277605254813,False
6,SMB,2,106,0.019381132075471694,0.08912415471788719,0.21746216990018646,-0.3476183192811231,0.7879897400174016,False
6,HML,0,91,-0.03989010989010989,0.08671618596562528,-0.4600076611524695,-1.054889862872667,0.17787120819586674,False
6,HML,1,61,0.02699016393442622,0.10678555375987557,0.2527510790000483,-0.3950232741593005,1.043651506350534,False
6,HML,2,106,0.011003773584905657,0.12935907475327835,0.08506379321197786,-0.5952870997512313,0.7017881549684709,False
6,RMW,0,91,0.04854065934065935,0.05141816186877327,0.9440372346359301,0.2875019380483296,1.64678954056452,True
6,RMW,1,61,-0.0009442622950819697,0.0991384106137293,-0.009524686639985352,-0.6982224108162302,0.6664844745678573,False
6,RMW,2,106,0.037947169811320756,0.07045688372055536,0.5385871160840158,-0.06764598653510179,1.0536318105047329,False
6,CMA,0,91,-0.01814505494505495,0.05079051972339812,-0.3572527913451515,-0.9179077360983333,0.15876690093910228,False
6,CMA,1,61,-0.027718032786885245,0.08769437165332865,-0.3160753907498137,-1.0123813114100328,0.39105690449346614,False
6,CMA,2,106,0.03835471698113207,0.06744352006621417,0.5686938781290846,-0.1754506525178178,1.144324818590476,False
6,UMD,0,91,0.09437802197802198,0.1240030254859547,0.7610945104618578,0.30670285546635034,1.2460840170083014,True
6,UMD,1,61,0.016583606557377048,0.13912091874620036,0.1192028251885734,-0.45291640381808584,0.7551636504203024,False
6,UMD,2,106,-0.04743396226415095,0.18035793749444648,-0.26299902806113823,-0.8146658234949333,0.544029922235638,False
12,Mkt-RF,0,91,0.048303296703296694,0.1401954121304174,0.344542634949868,-0.4550938132280528,1.470988059341629,False
12,Mkt-RF,1,61,0.14665573770491805,0.13490610237871523,1.0870949135660197,0.6382327072028028,1.774097332927349,True
12,Mkt-RF,2,106,0.12267169811320754,0.17227358496145512,0.7120749135199942,0.20188254569015018,1.21173577060925,True
12,SMB,0,91,-0.012975824175824182,0.08686370798882445,-0.14938142149646202,-0.6635405558878654,0.3959640439482171,False
12,SMB,1,61,-0.027639344262295095,0.10431076583388915,-0.26497115653728087,-0.7528269846076606,0.3645449577079334,False
12,SMB,2,106,0.019381132075471694,0.08912415471788719,0.21746216990018646,-0.29126800018478777,0.7162205431166366,False
12,HML,0,91,-0.03989010989010989,0.08671618596562528,-0.4600076611524695,-0.9680361671937724,0.12365766687195368,False
12,HML,1,61,0.02699016393442622,0.10678555375987557,0.2527510790000483,-0.39826239288431436,1.072398270925557,False
12,HML,2,106,0.011003773584905657,0.12935907475327835,0.08506379321197786,-0.5529330520265348,0.6809047720629045,False
12,RMW,0,91,0.04854065934065935,0.05141816186877327,0.9440372346359301,0.224346999209469,1.7637150742423877,True
12,RMW,1,61,-0.0009442622950819697,0.0991384106137293,-0.009524686639985352,-0.6022664956694453,0.7094055492256054,False
12,RMW,2,106,0.037947169811320756,0.07045688372055536,0.5385871160840158,-0.08140183831632912,1.060284600376073,False
12,CMA,0,91,-0.01814505494505495,0.05079051972339812,-0.3572527913451515,-0.885137549157664,0.1606139335076871,False
12,CMA,1,61,-0.027718032786885245,0.08769437165332865,-0.3160753907498137,-0.9903892378976324,0.4808908265873151,False
12,CMA,2,106,0.03835471698113207,0.06744352006621417,0.5686938781290846,-0.15968118870140846,1.1039372312924405,False
12,UMD,0,91,0.09437802197802198,0.1240030254859547,0.7610945104618578,0.35384882389176636,1.256326489423696,True
12,UMD,1,61,0.016583606557377048,0.13912091874620036,0.1192028251885734,-0.42137172763253244,0.7134549593040354,False
12,UMD,2,106,-0.04743396226415095,0.18035793749444648,-0.26299902806113823,-0.8187344144534935,0.5268075713997914,False
