label,eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff
headline,0.5,1,20,hmm_filtered,0.20637752512387034,0.1793776361703785,-0.02699988895349184
"no lag, no cost",0.5,0,0,hmm_filtered,0.2117096456711808,0.23020854762127857,0.018498901950097763
"no lag, headline cost",0.5,0,20,hmm_filtered,0.2117096456711808,0.2081298772127173,-0.0035797684584635003
"headline lag, no cost",0.5,1,0,hmm_filtered,0.20637752512387034,0.20170274597790125,-0.004674779145969088
