restart,seed,loglik,n_iter,converged
0,20260917,-4065.234961676258,84,True
1,20260918,-3574.2507025753875,60,True
2,20260919,-3750.206673081485,32,True
3,20260920,-3968.5993769888546,13,True
4,20260921,-3821.497539237447,60,True
5,20260922,-3777.9011412808863,26,True
6,20260923,-3710.5427154687363,48,True
7,20260924,-3822.0240682815656,63,True
8,20260925,-3660.426490614664,43,True
9,20260926,-3877.1798018826835,27,True
10,20260927,-3827.290338992849,19,True
11,20260928,-3861.1088204466105,43,True
12,20260929,-3811.1133462384028,14,True
13,20260930,-3822.022914126273,31,True
14,20260931,-3722.6851058250045,52,True
15,20260932,-3746.1914127217274,67,True
16,20260933,-3700.4362195672416,66,True
17,20260934,-3662.2117888325024,45,True
18,20260935,-3746.3624068352606,29,True
19,20260936,-3782.07273324106,26,True
