restart,seed,lower_bound,n_iter,converged
0,20260917,-9.629020458100667,22,True
1,20260918,-9.327117946998206,66,True
2,20260919,-9.62902873987485,22,True
3,20260920,-9.327115117658389,66,True
4,20260921,-9.788845252962187,23,True
5,20260922,-9.32714385643708,65,True
6,20260923,-9.628963645630588,23,True
7,20260924,-9.327117946998207,66,True
8,20260925,-9.25419702553075,35,True
9,20260926,-9.349795992356807,78,True
10,20260927,-9.327115117658389,66,True
11,20260928,-9.44401558754786,18,True
12,20260929,-9.327117946998207,66,True
13,20260930,-9.387089108390478,88,True
14,20260931,-9.327135009838374,65,True
15,20260932,-9.441249998345896,44,True
16,20260933,-9.327117946998206,66,True
17,20260934,-9.404544872902521,49,True
18,20260935,-9.639043247505036,84,True
19,20260936,-9.327117946998207,66,True
