restart,seed,lower_bound,n_iter,converged
0,20260917,-8.682380645269141,37,True
1,20260918,-8.961151914402308,36,True
2,20260919,-8.55404313651175,16,True
3,20260920,-8.817184832489495,36,True
4,20260921,-8.68238101193533,27,True
5,20260922,-8.682368672342283,37,True
6,20260923,-8.961183187237141,32,True
7,20260924,-8.799688295722595,9,True
8,20260925,-8.682368672342283,37,True
9,20260926,-8.961183187237141,32,True
10,20260927,-8.699038075735835,22,True
11,20260928,-8.817186434870832,35,True
12,20260929,-8.682368672342283,37,True
13,20260930,-8.961182971872518,36,True
14,20260931,-8.793497447577662,31,True
15,20260932,-8.68238031397531,40,True
16,20260933,-8.408190255534715,22,True
17,20260934,-8.606446211400995,44,True
18,20260935,-8.68238031397531,40,True
19,20260936,-8.886526791512619,12,True
