restart,seed,loglik,n_iter,converged
0,20260917,-2131.655650341213,15,True
1,20260918,-2125.2447406997426,43,True
2,20260919,-2098.954938671494,20,True
3,20260920,-2066.740646795807,28,True
4,20260921,-2013.4275720661728,41,True
5,20260922,-2002.1543650196854,33,True
6,20260923,-2124.049154262657,33,True
7,20260924,-2013.4275548268483,37,True
8,20260925,-2102.798968024144,18,True
9,20260926,-2004.179489014678,22,True
10,20260927,-2039.5669443811348,47,True
11,20260928,-2013.4275417899287,40,True
12,20260929,-2013.427568923477,41,True
13,20260930,-2002.1543649924442,45,True
14,20260931,-2057.665844875959,58,True
15,20260932,-1958.6024070403953,27,True
16,20260933,-2017.9974559143868,31,True
17,20260934,-1987.00354912099,28,True
18,20260935,-2021.0492118191512,17,True
19,20260936,-2002.1543628946558,31,True
