restart,seed,loglik,n_iter,converged
0,20260917,-2726.4747698599544,123,True
1,20260918,-2434.0114850199802,19,True
2,20260919,-2373.1522993282483,20,True
3,20260920,-2435.0088318156904,20,True
4,20260921,-2388.983919025561,11,True
5,20260922,-2369.2104576355514,51,True
6,20260923,-2367.735823061331,17,True
7,20260924,-2387.8976094213235,11,True
8,20260925,-2443.8869799645154,26,True
9,20260926,-2386.418132982222,27,True
10,20260927,-2387.8976101678777,10,True
11,20260928,-2369.210457635402,33,True
12,20260929,-2467.5704855970703,10,True
13,20260930,-2438.6386757793834,18,True
14,20260931,-2335.626548018492,37,True
15,20260932,-2699.3435978085226,25,True
16,20260933,-2464.2027582634046,19,True
17,20260934,-2434.7726744095153,33,True
18,20260935,-2377.4624728484314,17,True
19,20260936,-2388.983918321316,9,True
