K,loglik,m,T,bic,converged
2,-1382.0208012763767,90,168,3225.1983606990466,True
3,-1095.3578550366285,138,168,2897.822739230907,True
4,-989.8971025645969,188,168,2943.0994332570062,True
5,-918.4524475111543,240,168,3066.6562500790906,True
