restart,seed,lower_bound,n_iter,converged
0,20260917,-10.137835914131198,18,True
1,20260918,-10.137487257747214,31,True
2,20260919,-9.8779118448544,40,True
3,20260920,-9.795675219000548,26,True
4,20260921,-10.071717651296762,28,True
5,20260922,-9.872518044906707,51,True
6,20260923,-10.071735469516826,22,True
7,20260924,-10.137831329266962,19,True
8,20260925,-10.075858387377053,17,True
9,20260926,-9.877929244174508,39,True
10,20260927,-10.110989103113473,12,True
11,20260928,-9.79560737374222,33,True
12,20260929,-10.104960356544117,18,True
13,20260930,-10.183560944891228,21,True
14,20260931,-9.796547743622307,38,True
15,20260932,-9.818426491610897,26,True
16,20260933,-9.8779118448544,40,True
17,20260934,-10.137860051729684,21,True
18,20260935,-9.795656967863499,31,True
19,20260936,-9.796497161602012,38,True
