restart,seed,loglik,n_iter,converged
0,20260917,-3280.1061452227596,35,True
1,20260918,-3145.974943683123,34,True
2,20260919,-3212.0741405384606,30,True
3,20260920,-2976.555565618133,39,True
4,20260921,-3260.5367520060117,28,True
5,20260922,-3167.257757453351,22,True
6,20260923,-3180.0121848382946,18,True
7,20260924,-3208.6739715746044,31,True
8,20260925,-3101.465188253367,34,True
9,20260926,-3142.99909533354,68,True
10,20260927,-3113.790275789025,40,True
11,20260928,-3194.5656826762875,33,True
12,20260929,-3262.4571712317697,19,True
13,20260930,-3135.016566431864,32,True
14,20260931,-2914.4664127410115,46,True
15,20260932,-3260.7550347270735,21,True
16,20260933,-3118.8492475573457,30,True
17,20260934,-3073.3940355675168,33,True
18,20260935,-2949.4518280796287,64,True
19,20260936,-3043.9120118929677,15,True
