restart,seed,lower_bound,n_iter,converged
0,20260917,-8.22573911428192,30,True
1,20260918,-8.677564675720797,26,True
2,20260919,-8.532186342953247,35,True
3,20260920,-8.532186804245951,38,True
4,20260921,-8.22574498999838,37,True
5,20260922,-8.453950825941495,54,True
6,20260923,-8.453950825889802,53,True
7,20260924,-8.453950825941495,54,True
8,20260925,-8.761230934064818,41,True
9,20260926,-8.693739447694936,29,True
10,20260927,-8.453950826300852,54,True
11,20260928,-8.626608549699569,16,True
12,20260929,-8.453950825858156,53,True
13,20260930,-8.453950825869459,58,True
14,20260931,-8.801516944405716,14,True
15,20260932,-8.57263119465891,30,True
16,20260933,-8.225742320219917,31,True
17,20260934,-8.59520653876424,19,True
18,20260935,-8.626614807546295,15,True
19,20260936,-8.43917773805458,22,True
