restart,seed,lower_bound,n_iter,converged
0,20260917,-9.60405330665621,62,True
1,20260918,-9.99921312123712,54,True
2,20260919,-9.817610841949286,37,True
3,20260920,-9.618923396987233,47,True
4,20260921,-9.99504275623505,38,True
5,20260922,-9.618924373023178,51,True
6,20260923,-9.643350889980066,43,True
7,20260924,-9.965101181945512,36,True
8,20260925,-10.093301311510983,23,True
9,20260926,-9.643361442737897,23,True
10,20260927,-9.618923396987233,47,True
11,20260928,-9.60405330665621,62,True
12,20260929,-9.78507553333464,27,True
13,20260930,-9.71677083590548,26,True
14,20260931,-10.093336774482603,23,True
15,20260932,-9.817603177126468,37,True
16,20260933,-9.785045990884539,30,True
17,20260934,-10.107486213036287,18,True
18,20260935,-9.701777487184557,30,True
19,20260936,-9.64334061493623,26,True
