restart,seed,lower_bound,n_iter,converged
0,20260917,-9.422519490452622,13,True
1,20260918,-9.104746092138463,17,True
2,20260919,-9.104732704857149,15,True
3,20260920,-9.104746092138463,17,True
4,20260921,-9.674049957114608,11,True
5,20260922,-9.104745821153415,16,True
6,20260923,-9.104738996755605,17,True
7,20260924,-9.680007488082179,10,True
8,20260925,-9.330418536705197,19,True
9,20260926,-9.015002455442728,29,True
10,20260927,-9.104738996755604,17,True
11,20260928,-9.10474609213846,17,True
12,20260929,-9.104746092138463,17,True
13,20260930,-9.1216054118327,16,True
14,20260931,-9.070478571155734,8,True
15,20260932,-9.10474609213846,17,True
16,20260933,-9.33039575944904,18,True
17,20260934,-9.422518700278419,18,True
18,20260935,-9.347595529027853,12,True
19,20260936,-9.12159949795354,20,True
