restart,seed,lower_bound,n_iter,converged
0,20260917,-9.515895816206209,40,True
1,20260918,-9.56419454822772,56,True
2,20260919,-9.708954034738571,41,True
3,20260920,-9.56415192555777,56,True
4,20260921,-9.515876336231825,46,True
5,20260922,-9.573740791733139,55,True
6,20260923,-9.57367926242698,58,True
7,20260924,-9.573740791733139,55,True
8,20260925,-9.708967720730197,40,True
9,20260926,-9.562028944177648,37,True
10,20260927,-9.79602466386195,39,True
11,20260928,-9.573740791733139,55,True
12,20260929,-9.573740791733139,55,True
13,20260930,-9.70896550072973,40,True
14,20260931,-9.515879367793067,46,True
15,20260932,-9.708954034738571,41,True
16,20260933,-9.564171749529477,56,True
17,20260934,-9.56419454822772,56,True
18,20260935,-9.713831970720804,44,True
19,20260936,-9.51588651083218,24,True
