restart,seed,lower_bound,n_iter,converged
0,20260917,-9.448745885047051,22,True
1,20260918,-9.569722023455933,10,True
2,20260919,-9.448745885047051,22,True
3,20260920,-9.448773989434214,30,True
4,20260921,-9.448773989434214,30,True
5,20260922,-9.446111328807689,14,True
6,20260923,-9.446111328807689,14,True
7,20260924,-9.448745885047051,22,True
8,20260925,-9.448745885047051,22,True
9,20260926,-9.446111328807689,14,True
10,20260927,-9.448773989434214,30,True
11,20260928,-9.730484737360474,28,True
12,20260929,-9.446111328807689,14,True
13,20260930,-9.448773989434214,30,True
14,20260931,-9.380386365057099,19,True
15,20260932,-9.383831377350955,28,True
16,20260933,-9.525572513962324,55,True
17,20260934,-9.448745885047051,22,True
18,20260935,-9.448745885047051,22,True
19,20260936,-9.448745885047051,22,True
