restart,seed,lower_bound,n_iter,converged
0,20260917,-9.574422067297064,9,True
1,20260918,-9.574422067297068,9,True
2,20260919,-9.574422067297064,9,True
3,20260920,-9.548475381405641,9,True
4,20260921,-9.545509734003016,10,True
5,20260922,-9.474725156709127,43,True
6,20260923,-9.56776412371079,20,True
7,20260924,-9.545520257074163,12,True
8,20260925,-9.574422067297068,9,True
9,20260926,-9.545509734003014,10,True
10,20260927,-9.545509734003016,10,True
11,20260928,-9.545509734003016,10,True
12,20260929,-9.545509734003014,10,True
13,20260930,-9.474714731300253,37,True
14,20260931,-9.685200794027326,55,True
15,20260932,-9.57444521640447,12,True
16,20260933,-9.57465279450356,14,True
17,20260934,-9.545509081140171,10,True
18,20260935,-9.54551723999959,12,True
19,20260936,-9.57465279450356,14,True
