restart,seed,lower_bound,n_iter,converged
0,20260917,-9.262831314056141,24,True
1,20260918,-9.333317271745047,19,True
2,20260919,-9.494305572714591,16,True
3,20260920,-9.26283131405614,24,True
4,20260921,-9.333337889063932,14,True
5,20260922,-9.26283131405614,24,True
6,20260923,-9.164781976443065,14,True
7,20260924,-9.26283131405614,24,True
8,20260925,-9.494305572714591,16,True
9,20260926,-9.26283131405614,24,True
10,20260927,-9.494305572714591,16,True
11,20260928,-9.752867377571667,17,True
12,20260929,-9.262816581123124,26,True
13,20260930,-9.262831314056141,24,True
14,20260931,-9.3333377156719,19,True
15,20260932,-9.26283131405614,24,True
16,20260933,-9.494305572714591,16,True
17,20260934,-9.494305572714591,16,True
18,20260935,-9.26283131405614,24,True
19,20260936,-9.262816581123124,26,True
