restart,seed,lower_bound,n_iter,converged
0,20260917,-9.166481189844811,74,True
1,20260918,-9.311000047627497,54,True
2,20260919,-9.79909649777752,15,True
3,20260920,-9.311000047627497,54,True
4,20260921,-9.374695121854302,21,True
5,20260922,-9.416966454175505,42,True
6,20260923,-9.79790687796893,13,True
7,20260924,-9.311000047627497,54,True
8,20260925,-9.310987518397676,63,True
9,20260926,-9.382089209403288,16,True
10,20260927,-9.512539472424928,22,True
11,20260928,-9.512486411414281,22,True
12,20260929,-9.512486411414281,22,True
13,20260930,-9.311011359304043,54,True
14,20260931,-9.16649408291581,76,True
15,20260932,-9.311011359304043,54,True
16,20260933,-9.416950563540949,42,True
17,20260934,-9.512486411414281,22,True
18,20260935,-9.311011359304043,54,True
19,20260936,-9.311011359304041,54,True
