restart,seed,loglik,n_iter,converged
0,20260917,-3523.439079110557,39,True
1,20260918,-3269.760215225426,49,True
2,20260919,-3556.6043559127693,36,True
3,20260920,-3414.9568337249225,54,True
4,20260921,-3574.938142154158,20,True
5,20260922,-3472.9844093210436,38,True
6,20260923,-3547.3838268341997,89,True
7,20260924,-3426.24855515074,48,True
8,20260925,-3342.025654305974,60,True
9,20260926,-3430.1955003957137,37,True
10,20260927,-3273.333110266309,76,True
11,20260928,-3557.8550656929683,29,True
12,20260929,-3366.0645807598194,70,True
13,20260930,-3563.734945301113,50,True
14,20260931,-3430.1610126699516,90,True
15,20260932,-3330.129750014389,60,True
16,20260933,-3274.5292663661244,61,True
17,20260934,-3430.9482331397285,64,True
18,20260935,-3408.9451212920403,30,True
19,20260936,-3426.248561396466,25,True
