restart,seed,lower_bound,n_iter,converged
0,20260917,-9.469321506577888,23,True
1,20260918,-9.469321506577888,23,True
2,20260919,-9.46932150657789,23,True
3,20260920,-9.363220624733842,13,True
4,20260921,-9.45518999274731,28,True
5,20260922,-9.46932150657789,23,True
6,20260923,-9.469321506577888,23,True
7,20260924,-9.46932150657789,23,True
8,20260925,-9.469321506577888,23,True
9,20260926,-9.469320920497758,23,True
10,20260927,-9.469320920497758,23,True
11,20260928,-9.46932150657789,23,True
12,20260929,-9.46932150657789,23,True
13,20260930,-9.469320920497758,23,True
14,20260931,-9.46932150657789,23,True
15,20260932,-9.46932150657789,23,True
16,20260933,-9.363220624733842,13,True
17,20260934,-9.438740219212118,24,True
18,20260935,-9.469321506577888,23,True
19,20260936,-9.46932150657789,23,True
