restart,seed,lower_bound,n_iter,converged
0,20260917,-9.852584738546557,32,True
1,20260918,-10.163253038212256,11,True
2,20260919,-9.91922305038037,46,True
3,20260920,-9.817971880157096,40,True
4,20260921,-10.157419349866318,17,True
5,20260922,-10.157385836549379,16,True
6,20260923,-10.157416547049756,17,True
7,20260924,-9.919223050380369,46,True
8,20260925,-9.691618266665213,40,True
9,20260926,-9.914371639990724,37,True
10,20260927,-9.914371639990724,37,True
11,20260928,-10.163266619846643,8,True
12,20260929,-10.163125876372264,16,True
13,20260930,-9.822977736207099,28,True
14,20260931,-9.825774104734847,29,True
15,20260932,-10.2210447124253,21,True
16,20260933,-9.822982867345829,34,True
17,20260934,-9.822988913865537,32,True
18,20260935,-10.221036014800804,22,True
19,20260936,-9.825589780261895,39,True
