block_size,eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,n_months
3,0.5,1,20,hmm_filtered,0.20637752512387034,0.1793776361703785,-0.02699988895349184,-0.21592069974031788,0.15686951500010515,0.5975,0.043991741037531625,257
6,0.5,1,20,hmm_filtered,0.20637752512387034,0.1793776361703785,-0.02699988895349184,-0.22785526600215658,0.17096286363762273,0.5865,0.043991741037531625,257
12,0.5,1,20,hmm_filtered,0.20637752512387034,0.1793776361703785,-0.02699988895349184,-0.22450333341769008,0.17138973137577235,0.5955,0.043991741037531625,257
