restart,seed,loglik,n_iter,converged
0,20260917,-1995.6362941466023,18,True
1,20260918,-1951.030857253693,28,True
2,20260919,-1921.5673852340544,32,True
3,20260920,-1840.768117239758,18,True
4,20260921,-1960.8581494511793,36,True
5,20260922,-1846.7875002940518,27,True
6,20260923,-1865.2294074542697,28,True
7,20260924,-1865.2294074196668,27,True
8,20260925,-1865.229407751616,29,True
9,20260926,-1838.460553434339,18,True
10,20260927,-1865.229407827772,22,True
11,20260928,-1865.2294075454051,27,True
12,20260929,-1865.229407968561,27,True
13,20260930,-1893.4608821471795,16,True
14,20260931,-1857.9475708081288,36,True
15,20260932,-2185.3174663736754,28,True
16,20260933,-1935.0946828303997,19,True
17,20260934,-2203.3173383972176,113,True
18,20260935,-1905.237854267294,15,True
19,20260936,-1865.2294077848373,23,True
