restart,seed,lower_bound,n_iter,converged
0,20260917,-8.53099970115194,19,True
1,20260918,-8.693367408103672,20,True
2,20260919,-8.693360220588039,21,True
3,20260920,-8.693313601866388,19,True
4,20260921,-8.74982869237684,13,True
5,20260922,-8.332728356945593,12,True
6,20260923,-9.047798884182592,20,True
7,20260924,-8.373013292879698,32,True
8,20260925,-8.553718038496962,45,True
9,20260926,-8.43803405717091,27,True
10,20260927,-8.43803405717091,27,True
11,20260928,-8.947837946057916,21,True
12,20260929,-8.373013681300655,32,True
13,20260930,-8.748596861464337,38,True
14,20260931,-8.74073070707347,15,True
15,20260932,-8.215397328509907,36,True
16,20260933,-8.215414586144805,36,True
17,20260934,-8.852213024190261,24,True
18,20260935,-8.531000880894076,19,True
19,20260936,-8.53100206436273,32,True
