restart,seed,lower_bound,n_iter,converged
0,20260917,-9.814875146438375,35,True
1,20260918,-9.81484441508086,35,True
2,20260919,-9.730231792349752,55,True
3,20260920,-9.995271607900577,67,True
4,20260921,-9.991825984418492,35,True
5,20260922,-10.001489252561534,43,True
6,20260923,-10.001489252561534,43,True
7,20260924,-9.991822179261847,35,True
8,20260925,-9.763433677624118,23,True
9,20260926,-9.738772792955611,35,True
10,20260927,-9.814865091028294,35,True
11,20260928,-9.730234042976223,48,True
12,20260929,-10.1093111805853,17,True
13,20260930,-9.814961072162065,31,True
14,20260931,-9.991825984418492,35,True
15,20260932,-9.757781981758763,30,True
16,20260933,-9.814947751033209,30,True
17,20260934,-9.991860257417015,37,True
18,20260935,-9.814865091028294,35,True
19,20260936,-9.73881196723523,34,True
