restart,seed,lower_bound,n_iter,converged
0,20260917,-10.053624369491766,41,True
1,20260918,-10.129853302012442,16,True
2,20260919,-9.765534823358768,50,True
3,20260920,-10.08970541331116,43,True
4,20260921,-9.8418605074296,15,True
5,20260922,-9.766519110074476,91,True
6,20260923,-10.053567008605684,46,True
7,20260924,-9.86429294303031,27,True
8,20260925,-10.045433924558349,27,True
9,20260926,-10.089700441680144,44,True
10,20260927,-9.83886657899737,31,True
11,20260928,-9.841832687344104,49,True
12,20260929,-10.045433924558349,27,True
13,20260930,-9.788776528369429,64,True
14,20260931,-10.194015227441081,28,True
15,20260932,-10.194371292468169,25,True
16,20260933,-10.129813598404139,16,True
17,20260934,-10.194015227441081,28,True
18,20260935,-10.089708164693066,44,True
19,20260936,-10.045433924558349,27,True
