restart,seed,lower_bound,n_iter,converged
0,20260917,-8.898400363726857,13,True
1,20260918,-8.208747734339381,26,True
2,20260919,-8.234012942729638,17,True
3,20260920,-8.234012933495329,23,True
4,20260921,-8.498835555541564,21,True
5,20260922,-8.560541402238147,24,True
6,20260923,-8.630241524860306,24,True
7,20260924,-8.243566421697421,20,True
8,20260925,-8.234012933495329,23,True
9,20260926,-8.568198878413885,20,True
10,20260927,-8.601784301778284,13,True
11,20260928,-8.234013838402584,9,True
12,20260929,-8.174367250795225,13,True
13,20260930,-8.234013838402582,9,True
14,20260931,-8.234012940815552,17,True
15,20260932,-8.48788627665449,21,True
16,20260933,-8.234012933495329,23,True
17,20260934,-7.763232340928267,15,True
18,20260935,-8.56044833610756,21,True
19,20260936,-8.212153075021792,20,True
