factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,74,0.16855135135135135,0.15368791564892928,1.096711804826443,0.4291368945660591,0.3048790911298999,1.99383850547934,True
Mkt-RF,1,55,0.14059636363636363,0.14790347849017935,0.9505953820125946,0.2830204717522107,0.3217564188127346,1.8920293140653865,True
Mkt-RF,2,79,0.08276962025316455,0.16049174409328107,0.5157250967691968,-0.1518498134911872,-0.2264290049621032,1.4492509130685274,False
Mkt-RF,3,50,-0.007992000000000003,0.14366093772689717,-0.05563098867691496,-0.7232058989372989,-0.5906876218109374,0.7151835685638479,False
SMB,0,74,0.030097297297297293,0.0958540801413703,0.31399077903526196,0.34822541136811225,-0.26524077851373873,0.8526328558004997,False
SMB,1,55,-0.032378181818181834,0.07590325687373635,-0.42657170656118654,-0.39233707422833625,-1.1232057758382923,0.24880301178599512,False
SMB,2,79,-0.0010481012658227927,0.10771261431860969,-0.00973053409253024,0.02450409824032005,-0.625721247035486,0.6281624642884777,False
SMB,3,50,-0.02352,0.07490568763996715,-0.3139948479352924,-0.27976021560244213,-1.308236688702396,0.627836125697294,False
HML,0,74,-0.030421621621621618,0.11064384078604399,-0.2749508820870473,-0.24627069603513563,-0.9354012577051463,0.39692673696398734,False
HML,1,55,-0.023127272727272722,0.07418003488646777,-0.31177220073661216,-0.28309201468470047,-1.0746343333991115,0.620543345108025,False
HML,2,79,0.002202531645569613,0.126018721812762,0.017477812930384452,0.04615799898229616,-0.7002539591448557,0.8530319516154944,False
HML,3,50,0.05063999999999999,0.1183613215918933,0.4278424684594631,0.4565226545113748,-0.6915993368231822,1.1260817500731914,False
RMW,0,74,0.01595675675675676,0.06104344008321968,0.26140002488397,-0.1857349595564889,-0.3763252553412988,0.918662688798298,False
RMW,1,55,0.014334545454545464,0.055930767449363206,0.2562908772443219,-0.19084410719613698,-0.4467987125777667,1.0311527369878304,False
RMW,2,79,0.028739240506329113,0.08997185711670197,0.3194247782287255,-0.1277102062117334,-0.2739440355278971,1.0904362185272325,False
RMW,3,50,0.08284799999999998,0.07431060989426169,1.114887902520062,0.6677529180796031,0.38445634531861056,1.9341437742567749,True
CMA,0,74,0.01234054054054054,0.06288161140542882,0.19625038647586457,0.15504112768779568,-0.41735391573152003,0.7616583091901605,False
CMA,1,55,0.0025527272727272734,0.04832202417326928,0.05282740771731553,0.011618148929246654,-0.6613598849242261,0.7562104375718806,False
CMA,2,79,-0.04778734177215192,0.06734121516560661,-0.7096299295258114,-0.7508391883138803,-1.3423592921839493,-0.03338629495826366,True
CMA,3,50,0.06890399999999999,0.08879570011652407,0.7759835207062867,0.7347742619182178,-0.13909371745565136,1.5511553387114043,False
UMD,0,74,0.0008756756756756749,0.20888441292666413,0.004192154232126023,-0.11137491485073847,-0.5986127633499201,1.0676848282360676,False
UMD,1,55,-0.017716363636363634,0.0964735303625096,-0.18363963223686855,-0.29920670131973304,-0.708226919600216,0.47482069758674206,False
UMD,2,79,-0.014354430379746834,0.15736897791288984,-0.0912151211129591,-0.2067821901958236,-0.6535804108422529,0.5262353582990589,False
UMD,3,50,0.132312,0.08504048908416195,1.555870637915251,1.4403035688323864,0.6326151406044613,2.6241913407559587,True
