restart,seed,loglik,n_iter,converged
0,20260917,-2673.1290321581996,38,True
1,20260918,-2822.0604314210354,23,True
2,20260919,-2613.24027695217,33,True
3,20260920,-2771.8793632633674,41,True
4,20260921,-2799.156704825097,14,True
5,20260922,-2585.435394455008,25,True
6,20260923,-2723.8624459708017,14,True
7,20260924,-2644.6441772189855,29,True
8,20260925,-2804.9441720991044,28,True
9,20260926,-2725.825858426791,88,True
10,20260927,-2710.7563140953607,38,True
11,20260928,-2653.0707709586754,19,True
12,20260929,-2804.034109988947,9,True
13,20260930,-2663.097610871122,36,True
14,20260931,-2851.608189508509,54,True
15,20260932,-2900.6750392647086,45,True
16,20260933,-2718.1179787505907,19,True
17,20260934,-2632.4880887583818,44,True
18,20260935,-2709.987364843743,24,True
19,20260936,-2711.7299308288375,27,True
