restart,seed,lower_bound,n_iter,converged
0,20260917,-9.504119977185923,14,True
1,20260918,-9.504119977185923,14,True
2,20260919,-9.504119977185923,14,True
3,20260920,-9.504119977185923,14,True
4,20260921,-9.504119977185923,14,True
5,20260922,-9.572620620779023,13,True
6,20260923,-9.455765697665553,35,True
7,20260924,-9.45572853370982,14,True
8,20260925,-9.260858358536659,18,True
9,20260926,-9.504119977185923,14,True
10,20260927,-9.504119977185923,14,True
11,20260928,-9.326798485144252,25,True
12,20260929,-9.504119977185923,14,True
13,20260930,-9.31806925386697,39,True
14,20260931,-9.504119977185923,14,True
15,20260932,-9.504119977185923,14,True
16,20260933,-9.504119977185923,14,True
17,20260934,-9.504119977185923,14,True
18,20260935,-9.504119977185923,14,True
19,20260936,-9.504119977185923,14,True
