factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,73,0.03435616438356164,0.16448397598600412,0.20887240947096875,-0.4587025007894152,-0.3330992601084656,0.7963428975529394,False
Mkt-RF,1,38,0.18337894736842103,0.12671480270011312,1.4471785731491125,0.7796036628887285,0.8317301784336235,2.2249282003959303,True
Mkt-RF,2,147,0.11475102040816323,0.1530520792958926,0.7497514632670708,0.0821765530066868,0.1260924852662478,1.4547590887570612,True
SMB,0,73,-0.039073972602739725,0.0799796637965212,-0.4885488478939978,-0.4543142155611475,-1.1665344088866034,0.17354916029991196,False
SMB,1,38,-0.04531578947368421,0.1171343631592238,-0.38687015706983674,-0.35263552473698645,-1.0110387594712382,0.42757324753293163,False
SMB,2,147,0.02559183673469388,0.08999201940201451,0.28437895832039733,0.3186135906532476,-0.1751970666405417,0.7025233607424134,False
HML,0,73,-0.07375890410958905,0.10680215481895765,-0.6906125090324174,-0.6619323229805057,-1.3967924270235532,0.04611066721470127,False
HML,1,38,0.03189473684210526,0.12353319190457969,0.2581875878892662,0.2868677739411779,-0.5253059684446225,1.4702118418571408,False
HML,2,147,0.022824489795918362,0.10810413145365783,0.21113429698755573,0.23981448303946745,-0.2660045254253464,0.6773941786738495,False
RMW,0,73,-0.009468493150684931,0.07782828452526831,-0.1216587672263394,-0.5687937516667984,-0.6172348925231329,0.4335557367558186,False
RMW,1,38,0.03423157894736843,0.08141356830308251,0.42046528190402804,-0.02666970253643086,-0.7518377448218415,1.6045950081118256,False
RMW,2,147,0.0528734693877551,0.0672153752529448,0.786627601032974,0.3394926165925151,0.31299510668165487,1.2818514358555089,True
CMA,0,73,-0.004010958904109589,0.07067972880484856,-0.056748362959684134,-0.09795762174775302,-0.6679606852877196,0.5101684705632294,False
CMA,1,38,-0.028515789473684206,0.09361221106107874,-0.3046161302084686,-0.3458253889965375,-1.276143569812574,0.8200394177527661,False
CMA,2,147,0.014285714285714284,0.0586079381223986,0.24375050109900748,0.2025412423109386,-0.29966080627139036,0.6892232452487297,False
UMD,0,73,0.08089315068493151,0.1275996713111811,0.6339604942057803,0.5183934251229158,0.12231288066668267,1.3161719130244462,True
UMD,1,38,0.01127368421052632,0.13601542534477917,0.08288533585032123,-0.03268173323254327,-0.6147356712810712,1.0775831004740755,False
UMD,2,147,-0.01198367346938776,0.1686122015103973,-0.07107239785757022,-0.1866394669404347,-0.5165489700340079,0.5604253325242401,False
