from_state,to_0,to_1,to_2
0,0.9548223094880244,0.045177690511975545,6.495787664953142e-44
1,6.451288472853498e-15,0.9722144677801186,0.027785532219874957
2,0.010174024290609037,4.896019989033051e-79,0.9898259757093909
