restart,seed,loglik,n_iter,converged
0,20260917,-3786.871710453575,26,True
1,20260918,-3771.239361576379,29,True
2,20260919,-3773.661344723453,36,True
3,20260920,-3923.6566434363003,22,True
4,20260921,-3884.238627525584,43,True
5,20260922,-3796.0881282104015,76,True
6,20260923,-3834.13553298238,31,True
7,20260924,-3920.1946625693427,41,True
8,20260925,-3944.8420525428687,36,True
9,20260926,-3807.027397348137,68,True
10,20260927,-3739.6162297006,21,True
11,20260928,-3826.9540603592704,62,True
12,20260929,-3773.6613505949094,35,True
13,20260930,-3922.032427304615,36,True
14,20260931,-3763.3829030867932,66,True
15,20260932,-4075.004892438346,34,True
16,20260933,-3762.0026456155374,20,True
17,20260934,-3749.8643120615397,27,True
18,20260935,-3810.478531617443,47,True
19,20260936,-3878.2494305593327,29,True
