restart,seed,loglik,n_iter,converged
0,20260917,-3526.7677418861917,115,True
1,20260918,-3364.68782236483,23,True
2,20260919,-3394.5442678748286,15,True
3,20260920,-3426.702744731687,25,True
4,20260921,-3281.588516156658,53,True
5,20260922,-3360.060279951696,67,True
6,20260923,-3233.5050356309775,46,True
7,20260924,-3427.5224233222966,20,True
8,20260925,-3264.5876323290217,30,True
9,20260926,-3260.178215922393,43,True
10,20260927,-3539.645031621844,52,True
11,20260928,-3361.6301704037355,19,True
12,20260929,-3143.311192660012,123,True
13,20260930,-3414.242456144241,107,True
14,20260931,-3097.8847645458086,49,True
15,20260932,-3528.827638472049,29,True
16,20260933,-3123.5151002610396,58,True
17,20260934,-3209.4395602941026,31,True
18,20260935,-3233.505043293839,52,True
19,20260936,-3370.818794651329,38,True
