restart,seed,loglik,n_iter,converged
0,20260917,-2181.9501073408487,97,True
1,20260918,-2197.289223195849,32,True
2,20260919,-2189.401622648106,16,True
3,20260920,-2197.289276704093,19,True
4,20260921,-2197.2892562676448,24,True
5,20260922,-2188.2149419714206,18,True
6,20260923,-2225.480018610858,11,True
7,20260924,-2197.8828702046694,12,True
8,20260925,-2180.1738593113228,18,True
9,20260926,-2197.4118434700936,27,True
10,20260927,-2130.0230275258477,21,True
11,20260928,-2197.2892788030813,20,True
12,20260929,-2197.2892640658238,23,True
13,20260930,-2260.5004469675932,31,True
14,20260931,-2137.547881545602,38,True
15,20260932,-2062.2105367776085,15,True
16,20260933,-2109.825158517757,31,True
17,20260934,-2209.0685399007266,61,True
18,20260935,-2131.0876708504297,19,True
19,20260936,-2190.149631089497,18,True
