restart,seed,loglik,n_iter,converged
0,20260917,-3380.395244019309,206,True
1,20260918,-3247.040858462587,24,True
2,20260919,-3583.0959123742764,31,True
3,20260920,-3416.04710309368,34,True
4,20260921,-3211.711889662383,35,True
5,20260922,-3326.4057443236393,33,True
6,20260923,-3475.9450659885097,48,True
7,20260924,-3293.3892028353,52,True
8,20260925,-3226.3501474214836,42,True
9,20260926,-3220.014585212816,27,True
10,20260927,-3345.0029501614904,91,True
11,20260928,-3411.0590005071012,19,True
12,20260929,-3278.994936421532,35,True
13,20260930,-3774.0442673322723,48,True
14,20260931,-3913.811056177064,27,True
15,20260932,-3186.4014074892348,27,True
16,20260933,-3198.6727067917755,65,True
17,20260934,-3514.5663315944785,47,True
18,20260935,-3547.8100592262404,22,True
19,20260936,-3288.8328307746647,45,True
