restart,seed,loglik,n_iter,converged
0,20260917,-1184.5195268961643,10,True
1,20260918,-1038.9718649760887,35,True
2,20260919,-1070.3951551273256,14,True
3,20260920,-1114.11207500772,20,True
4,20260921,-1035.759338515451,11,True
5,20260922,-1006.1381850777027,31,True
6,20260923,-1184.9189524806218,64,True
7,20260924,-1040.6484387791184,13,True
8,20260925,-1069.953839780148,21,True
9,20260926,-1126.6891349784605,17,True
10,20260927,-1133.375518577624,10,True
11,20260928,-1044.9696977742246,38,True
12,20260929,-1044.079825115285,10,True
13,20260930,-1275.355044801344,33,True
14,20260931,-1199.5725043961027,37,True
15,20260932,-1034.4738797188832,12,True
16,20260933,-1074.1740271217604,9,True
17,20260934,-1021.0195995176946,44,True
18,20260935,-1083.946783411125,45,True
19,20260936,-1246.963330360343,13,True
