restart,seed,loglik,n_iter,converged
0,20260917,-1652.3107197910704,41,True
1,20260918,-1879.6982738817999,28,True
2,20260919,-1824.9396436986067,21,True
3,20260920,-1759.500342529964,23,True
4,20260921,-1767.790678551791,53,True
5,20260922,-1753.595522786169,55,True
6,20260923,-1900.848349440136,109,True
7,20260924,-1842.595171018049,27,True
8,20260925,-1833.3938484223136,99,True
9,20260926,-1752.4243172608449,49,True
10,20260927,-1871.6160725430468,38,True
11,20260928,-1661.7681343157992,40,True
12,20260929,-1772.5045391767653,35,True
13,20260930,-2150.217875006833,50,True
14,20260931,-1962.799226061118,25,True
15,20260932,-1767.3210640154196,25,True
16,20260933,-1825.118609001144,36,True
17,20260934,-1698.281250484055,52,True
18,20260935,-1842.4734804322006,33,True
19,20260936,-1869.7334902611226,28,True
