restart,seed,loglik,n_iter,converged
0,20260917,-1281.1776963247444,57,True
1,20260918,-1069.0014840035778,10,True
2,20260919,-1174.210780481948,21,True
3,20260920,-1256.482696746772,52,True
4,20260921,-1297.008284487558,19,True
5,20260922,-1317.5371635939412,31,True
6,20260923,-1179.2271078032109,58,True
7,20260924,-1166.8025478452378,14,True
8,20260925,-1162.583589103387,21,True
9,20260926,-1152.5530352706296,23,True
10,20260927,-1387.843410765622,14,True
11,20260928,-1132.2485469051928,18,True
12,20260929,-1156.6203205550967,33,True
13,20260930,-1525.4227763113463,82,True
14,20260931,-1507.5369690493658,25,True
15,20260932,-1140.1399201805104,10,True
16,20260933,-1201.9246887047036,16,True
17,20260934,-1168.792211736277,32,True
18,20260935,-1258.3661899302974,18,True
19,20260936,-1218.9456495666998,24,True
