restart,seed,loglik,n_iter,converged
0,20260917,-2765.119352119484,26,True
1,20260918,-2587.090551321586,41,True
2,20260919,-2746.4222798089186,30,True
3,20260920,-2395.475072858096,65,True
4,20260921,-2637.9158734421762,30,True
5,20260922,-2578.518585064519,45,True
6,20260923,-2811.9165572566108,57,True
7,20260924,-2488.0028053217284,26,True
8,20260925,-2549.6268640842177,34,True
9,20260926,-2598.242908142028,51,True
10,20260927,-2824.794491368754,27,True
11,20260928,-2404.8874101543392,39,True
12,20260929,-2405.600664660482,67,True
13,20260930,-2963.388329343074,42,True
14,20260931,-3058.2270431339525,24,True
15,20260932,-2420.836633583261,38,True
16,20260933,-2577.5400274174467,28,True
17,20260934,-2483.912925899879,49,True
18,20260935,-2764.1700118356143,29,True
19,20260936,-2434.140707971378,49,True
