restart,seed,loglik,n_iter,converged
0,20260917,-2577.886983276653,60,True
1,20260918,-2480.818586731348,16,True
2,20260919,-2600.430059275878,24,True
3,20260920,-2453.612153227502,23,True
4,20260921,-2324.263530554122,27,True
5,20260922,-2465.032042665346,31,True
6,20260923,-2563.785185156232,38,True
7,20260924,-2279.5848582177005,27,True
8,20260925,-2561.8154101074406,20,True
9,20260926,-2403.2537273255525,20,True
10,20260927,-2802.4966054368524,17,True
11,20260928,-2382.063557137256,54,True
12,20260929,-2283.4494592813776,39,True
13,20260930,-2873.502520957359,35,True
14,20260931,-2911.083147648191,25,True
15,20260932,-2258.50226572598,36,True
16,20260933,-2459.8447132796246,61,True
17,20260934,-2297.718975528258,58,True
18,20260935,-2663.0375740217733,57,True
19,20260936,-2339.871893461841,65,True
