restart,seed,loglik,n_iter,converged
0,20260917,-3587.8450210445726,164,True
1,20260918,-3681.841123993185,31,True
2,20260919,-3709.3625234629326,11,True
3,20260920,-3714.6891886830585,12,True
4,20260921,-3714.689187962147,10,True
5,20260922,-3708.950929481136,17,True
6,20260923,-3678.456870251008,25,True
7,20260924,-3701.8943266278866,18,True
8,20260925,-3678.4568688522995,32,True
9,20260926,-3678.4568702682186,26,True
10,20260927,-3714.689205106185,16,True
11,20260928,-3714.6891880759526,11,True
12,20260929,-3709.3625179639716,13,True
13,20260930,-3709.362524800298,16,True
14,20260931,-3641.8504432383193,89,True
15,20260932,-3889.163049916112,42,True
16,20260933,-3640.319517467702,52,True
17,20260934,-3640.319546761463,36,True
18,20260935,-3678.456867387206,20,True
19,20260936,-3708.950931471573,15,True
