restart,seed,loglik,n_iter,converged
0,20260917,-2679.0523895336078,19,True
1,20260918,-2663.754111073849,15,True
2,20260919,-2667.912385019505,34,True
3,20260920,-2676.449184890318,23,True
4,20260921,-2667.912402246834,34,True
5,20260922,-2667.911287258152,13,True
6,20260923,-2667.47142248462,17,True
7,20260924,-2663.754114858938,22,True
8,20260925,-2663.7541210157347,16,True
9,20260926,-2663.7541259895684,24,True
10,20260927,-2663.75410927438,25,True
11,20260928,-2667.471436506945,39,True
12,20260929,-2667.4714161493494,13,True
13,20260930,-2667.912358318452,37,True
14,20260931,-2678.924179744746,45,True
15,20260932,-2663.75411387514,13,True
16,20260933,-2643.860258738481,20,True
17,20260934,-2663.754088843324,27,True
18,20260935,-2667.9123715032474,36,True
19,20260936,-2667.912407236338,29,True
