refit_date,state,expected_duration
2004-12-31,0,20.763108317863978
2004-12-31,1,inf
2004-12-31,2,85.6429666161898
2005-12-31,0,26.584164535645495
2005-12-31,1,30.689511714424423
2005-12-31,2,95.09641902107668
2006-12-31,0,22.43865622287655
2006-12-31,1,30.103128876861554
2006-12-31,2,23.65301441895672
2007-12-31,0,21.03336149809405
2007-12-31,1,39.524918555961555
2007-12-31,2,121.14713110753222
2008-12-31,0,46.5879118691185
2008-12-31,1,58.29576202107407
2008-12-31,2,55.04899625316071
2009-12-31,0,22.905342155729137
2009-12-31,1,9.019733926435679
2009-12-31,2,58.64407328973963
2010-12-31,0,25.918437737954253
2010-12-31,1,9.027487968409186
2010-12-31,2,58.61263098538627
2011-12-31,0,28.865103864603284
2011-12-31,1,9.045640018336805
2011-12-31,2,58.70453799556925
2012-12-31,0,32.01344831425396
2012-12-31,1,9.033350208294546
2012-12-31,2,58.4131062952056
2013-12-31,0,35.17425759703066
2013-12-31,1,9.052755092825361
2013-12-31,2,58.0674948320487
2014-12-31,0,37.406657350034415
2014-12-31,1,44.67038095156863
2014-12-31,2,55.852989875003594
2015-12-31,0,29.782235743761742
2015-12-31,1,17.008513653360183
2015-12-31,2,57.918836298084344
2016-12-31,0,38.42461176339932
2016-12-31,1,14.322544252995232
2016-12-31,2,75.79530430532053
2017-12-31,0,49.25942352612517
2017-12-31,1,14.319239818852036
2017-12-31,2,50.82862131076919
2018-12-31,0,20.82487785234846
2018-12-31,1,18.861557615340477
2018-12-31,2,67.92744002777562
2019-12-31,0,20.805006874095714
2019-12-31,1,18.86924749531632
2019-12-31,2,73.85046098244506
2020-12-31,0,30.72883292741943
2020-12-31,1,19.388849752925314
2020-12-31,2,47.59428165203524
2021-12-31,0,19.973453884569075
2021-12-31,1,12.377071682447554
2021-12-31,2,41.503765258956925
2022-12-31,0,26.43658346000981
2022-12-31,1,14.376506421925233
2022-12-31,2,51.97704142742271
2023-12-31,0,25.456368809795265
2023-12-31,1,14.292451217926528
2023-12-31,2,58.75033520097456
2024-12-31,0,26.6669653461097
2024-12-31,1,14.270844998944275
2024-12-31,2,60.37608322892341
2025-12-31,0,16.822305441669336
2025-12-31,1,20.256384360967314
2025-12-31,2,64.76823328821882
