restart,seed,loglik,n_iter,converged
0,20260917,-3506.3564269205585,158,True
1,20260918,-3243.039004660198,14,True
2,20260919,-3261.6071030418793,17,True
3,20260920,-3230.058395128504,20,True
4,20260921,-3244.2333559786343,14,True
5,20260922,-3239.1399844209604,14,True
6,20260923,-3234.673862619659,29,True
7,20260924,-3261.607108397803,17,True
8,20260925,-3241.319112933639,19,True
9,20260926,-3230.0584084057373,25,True
10,20260927,-3248.352315751819,34,True
11,20260928,-3239.13998581795,8,True
12,20260929,-3261.6071110340017,58,True
13,20260930,-3248.3523246028144,37,True
14,20260931,-3283.8715082121635,28,True
15,20260932,-3505.636417087615,43,True
16,20260933,-3239.2285488142866,21,True
17,20260934,-3321.247829257947,22,True
18,20260935,-3261.607107592951,17,True
19,20260936,-3239.6179836782003,14,True
