restart,seed,loglik,n_iter,converged
0,20260917,-3131.104354247444,23,True
1,20260918,-3127.7986523832133,27,True
2,20260919,-3125.191772253861,32,True
3,20260920,-3131.1043501978697,24,True
4,20260921,-3127.7986615565937,15,True
5,20260922,-3125.1917999230145,20,True
6,20260923,-3125.4320564775117,23,True
7,20260924,-3124.5017387620906,19,True
8,20260925,-3131.1043419986854,21,True
9,20260926,-3142.403575552289,13,True
10,20260927,-3124.50176555688,22,True
11,20260928,-3125.1918044835566,18,True
12,20260929,-3124.501730120774,19,True
13,20260930,-3142.4035788056317,19,True
14,20260931,-3177.8097416654537,24,True
15,20260932,-3125.1917896584487,35,True
16,20260933,-3125.191792552052,21,True
17,20260934,-3177.8097463327404,30,True
18,20260935,-3125.950849834321,15,True
19,20260936,-3124.501720693021,12,True
