restart,seed,loglik,n_iter,converged
0,20260917,-2893.1123146990126,42,True
1,20260918,-2901.890734520542,14,True
2,20260919,-2881.6995829250127,16,True
3,20260920,-2881.699567502304,23,True
4,20260921,-2881.6995814037264,31,True
5,20260922,-2893.112308358487,42,True
6,20260923,-2881.6995785892323,15,True
7,20260924,-2881.69958690261,30,True
8,20260925,-2893.1123079036643,43,True
9,20260926,-2898.835993872305,17,True
10,20260927,-2881.6995823116,34,True
11,20260928,-2881.69957457936,20,True
12,20260929,-2881.6995751384375,15,True
13,20260930,-2881.699588024086,33,True
14,20260931,-2815.919006523886,33,True
15,20260932,-2901.890732386438,13,True
16,20260933,-2873.5995813463223,24,True
17,20260934,-3161.322916142585,31,True
18,20260935,-2881.699574979575,15,True
19,20260936,-2881.699586096489,33,True
