restart,seed,loglik,n_iter,converged
0,20260917,-4196.043694483746,341,True
1,20260918,-4196.043677578262,26,True
2,20260919,-4141.460183052489,38,True
3,20260920,-4141.460174275614,28,True
4,20260921,-4141.46017746719,29,True
5,20260922,-4239.869059014825,27,True
6,20260923,-4185.393115575771,18,True
7,20260924,-4141.460176913737,35,True
8,20260925,-4235.850154871942,24,True
9,20260926,-4256.8782503101265,17,True
10,20260927,-4239.869068667718,20,True
11,20260928,-4141.460171745848,33,True
12,20260929,-4253.473559752925,12,True
13,20260930,-4234.451696018783,31,True
14,20260931,-4233.811874935897,33,True
15,20260932,-4235.850158177201,14,True
16,20260933,-4196.043673811751,50,True
17,20260934,-4194.229841180464,38,True
18,20260935,-4234.451728097405,20,True
19,20260936,-4141.460182449187,37,True
