restart,seed,loglik,n_iter,converged
0,20260917,-1532.5110126168693,72,True
1,20260918,-1551.6312421553719,27,True
2,20260919,-1547.6271027820283,15,True
3,20260920,-1543.7430230745745,9,True
4,20260921,-1543.7430210951522,9,True
5,20260922,-1543.74302270947,7,True
6,20260923,-1547.627101299306,10,True
7,20260924,-1543.7430216596092,8,True
8,20260925,-1543.7430209424651,9,True
9,20260926,-1543.743019346761,9,True
10,20260927,-1543.7430200613678,10,True
11,20260928,-1547.6271026254863,9,True
12,20260929,-1543.7430234786061,9,True
13,20260930,-1563.447847168299,7,True
14,20260931,-1547.6271021474377,14,True
15,20260932,-1666.86104443823,109,True
16,20260933,-1545.411637296215,15,True
17,20260934,-1666.861069959162,75,True
18,20260935,-1543.7430211653423,9,True
19,20260936,-1543.743022159335,8,True
