factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,101,0.13826138613861386,0.12601578571554023,1.0971751305087765,0.4296002202483925,0.5244174018820698,1.822224239015163,True
Mkt-RF,1,59,0.08613559322033901,0.18582339856151453,0.4635346995433671,-0.20404021071701683,-0.45392390008501304,1.677277996015223,False
Mkt-RF,2,98,0.07447346938775508,0.1574161244808838,0.47309937043202294,-0.19447553982836102,-0.0638537600208346,1.0366716751864542,False
SMB,0,101,-0.013271287128712872,0.07924289477471926,-0.16747605153044953,-0.13324141919759924,-0.7245432880968651,0.3168026599510502,False
SMB,1,59,0.08328813559322032,0.10401944351356628,0.8006977616868123,0.8349323940196626,0.07572524567283428,1.6539548702325413,True
SMB,2,98,-0.04475510204081632,0.09454032305062375,-0.47339696540756676,-0.43916233307471647,-0.8911496263480291,-0.016394252064141836,True
HML,0,101,-0.0021267326732673317,0.08871762234669889,-0.023971930457697455,0.004708255594214252,-0.6574715312886993,0.54133640600336,False
HML,1,59,0.005084745762711865,0.11586704042936843,0.0438843155384769,0.0725645015903886,-0.6221530456683118,0.8187067641042028,False
HML,2,98,-0.00920816326530613,0.1271515057871623,-0.07241882986993158,-0.04373864381801987,-0.7030043495873957,0.5822206798363769,False
RMW,0,101,0.03737821782178218,0.0659189390595197,0.5670330614397864,0.11989807699932747,-0.09102155806578731,1.158530545085987,False
RMW,1,59,0.048305084745762714,0.06615194400835217,0.7302141376172381,0.2830791531767792,-0.17468176114980385,1.6085025413393876,False
RMW,2,98,0.017926530612244897,0.08281646058295611,0.21646096061166653,-0.23067402382879237,-0.29403783747514184,0.8145406891026498,False
CMA,0,101,0.013437623762376241,0.05417299001831773,0.24805025083224175,0.20684099204417286,-0.368531241609079,0.8426978268830067,False
CMA,1,59,-0.0077288135593220385,0.05619111248365518,-0.13754512444597336,-0.17875438323404225,-0.9228715067290816,0.45580680520369987,False
CMA,2,98,-0.0018122448979591785,0.08568394927075972,-0.021150342781616163,-0.06235960156968504,-0.6550736414696453,0.5568872011283521,False
UMD,0,101,0.04390099009900989,0.0859250315192503,0.5109220133271001,0.39535494424423556,0.039388046103996405,1.0287510253151426,True
UMD,1,59,-0.07126779661016949,0.24039778256722308,-0.2964577952803732,-0.4120248643632377,-0.972076573284675,0.7703012011957349,False
UMD,2,98,0.04431428571428572,0.14003395979871172,0.3164538500374064,0.20088678095454188,-0.1191911010479662,0.7553356722586309,False
