refit_date,state,matched_distance,sort_rule_state
2004-12-31,0,0.0,0
2004-12-31,1,0.0,1
2004-12-31,2,0.0,2
2005-12-31,0,0.6249470236926622,0
2005-12-31,1,0.8961691023605556,1
2005-12-31,2,0.3257833911865893,2
2006-12-31,0,0.9455839738765872,0
2006-12-31,1,0.062155489908795075,1
2006-12-31,2,0.9662887746489273,2
2007-12-31,0,1.1773971385215944,0
2007-12-31,1,0.89298233819938,1
2007-12-31,2,0.9020521604511927,2
2008-12-31,0,0.6648931631256536,1
2008-12-31,1,0.5413457250686672,0
2008-12-31,2,0.1824740799364162,2
2009-12-31,0,1.7724889821752783,1
2009-12-31,1,4.606717073547854,0
2009-12-31,2,0.17521765123209057,2
2010-12-31,0,0.2542583344351047,1
2010-12-31,1,0.002508464519831622,0
2010-12-31,2,0.003220655861793406,2
2011-12-31,0,0.1730050652866814,1
2011-12-31,1,0.0049229280460033106,0
2011-12-31,2,0.002837172230110322,2
2012-12-31,0,0.21660319144691945,1
2012-12-31,1,0.003618058339890278,0
2012-12-31,2,0.004876227194220585,2
2013-12-31,0,0.18441750640456397,1
2013-12-31,1,0.00677174214974481,0
2013-12-31,2,0.015546714591306531,2
2014-12-31,0,1.229072629988741,1
2014-12-31,1,4.3574163751944965,0
2014-12-31,2,0.1532324564207907,2
2015-12-31,0,1.1830312772016984,1
2015-12-31,1,3.3141550945412432,0
2015-12-31,2,0.1420338180361065,2
2016-12-31,0,0.7979168027227801,1
2016-12-31,1,0.4092279383045137,0
2016-12-31,2,0.6827041880980378,2
2017-12-31,0,0.5759542389533469,1
2017-12-31,1,1.1277968618625676,0
2017-12-31,2,0.5472801964324476,2
2018-12-31,0,0.6584113619019747,1
2018-12-31,1,1.3176142958846764,0
2018-12-31,2,1.1664293069601703,2
2019-12-31,0,0.0024605340924098262,1
2019-12-31,1,0.005154486510637049,0
2019-12-31,2,0.1548085984027764,2
2020-12-31,0,0.8867678217122306,1
2020-12-31,1,1.6691019227274488,0
2020-12-31,2,0.14181660496718093,2
2021-12-31,0,0.8366148970188652,1
2021-12-31,1,0.2508080203237974,0
2021-12-31,2,0.5817804330515547,2
2022-12-31,0,0.7640287550504586,1
2022-12-31,1,0.22468859927950882,0
2022-12-31,2,0.6744924650775949,2
2023-12-31,0,0.12036742020006456,1
2023-12-31,1,0.05564170704474549,0
2023-12-31,2,0.155984375273718,2
2024-12-31,0,0.115641425499963,1
2024-12-31,1,0.012886091799421977,0
2024-12-31,2,0.11856901786234057,2
2025-12-31,0,0.9323770264044864,1
2025-12-31,1,1.5328693882824707,0
2025-12-31,2,0.1576955857236705,2
