restart,seed,loglik,n_iter,converged
0,20260917,-2520.445913847408,74,True
1,20260918,-2526.154408263501,14,True
2,20260919,-2526.1544140343935,23,True
3,20260920,-2526.154408220523,25,True
4,20260921,-2526.154422737602,23,True
5,20260922,-2526.1544076325954,24,True
6,20260923,-2526.154408061773,24,True
7,20260924,-2526.1544141049917,20,True
8,20260925,-2526.154398235769,18,True
9,20260926,-2520.4459061058033,16,True
10,20260927,-2520.445909059534,15,True
11,20260928,-2526.1544126034473,20,True
12,20260929,-2526.1544112488305,28,True
13,20260930,-2593.2916423173724,13,True
14,20260931,-2526.154407372435,29,True
15,20260932,-2526.1544079607193,11,True
16,20260933,-2526.154423367547,46,True
17,20260934,-2553.6762702864435,48,True
18,20260935,-2526.154415418988,22,True
19,20260936,-2526.154421355244,28,True
