restart,seed,loglik,n_iter,converged
0,20260917,-1702.7592356368943,21,True
1,20260918,-1697.4277951468293,12,True
2,20260919,-1702.7592358032118,17,True
3,20260920,-1700.0296636350831,15,True
4,20260921,-1702.759236899291,12,True
5,20260922,-1696.6549468229662,11,True
6,20260923,-1688.1629843805674,19,True
7,20260924,-1697.3910551241245,15,True
8,20260925,-1702.7592370948848,9,True
9,20260926,-1696.65494291665,13,True
10,20260927,-1688.1629842761704,18,True
11,20260928,-1702.7592385147768,11,True
12,20260929,-1697.391049813587,14,True
13,20260930,-1673.2486650153012,16,True
14,20260931,-1702.7592356928021,12,True
15,20260932,-1678.483141129847,67,True
16,20260933,-1700.0296460348068,14,True
17,20260934,-1680.1369855604423,110,True
18,20260935,-1702.759238092662,11,True
19,20260936,-1697.3911540518875,15,True
