restart,seed,loglik,n_iter,converged
0,20260917,-3499.8535114573288,23,True
1,20260918,-3564.6629408195795,46,True
2,20260919,-3560.6156906284427,13,True
3,20260920,-3522.2599425937156,34,True
4,20260921,-3553.8997472352257,16,True
5,20260922,-3551.9806546422387,22,True
6,20260923,-3551.9806587086273,26,True
7,20260924,-3553.899734369604,14,True
8,20260925,-3546.0151097468693,36,True
9,20260926,-3564.662961919046,65,True
10,20260927,-3553.8997365185846,16,True
11,20260928,-3551.9806565516274,28,True
12,20260929,-3560.615699415894,14,True
13,20260930,-3396.850414347172,34,True
14,20260931,-3522.259947137422,42,True
15,20260932,-3520.8205251246563,28,True
16,20260933,-3439.628289870574,35,True
17,20260934,-3483.770349791421,35,True
18,20260935,-3413.1564664649304,15,True
19,20260936,-3455.893113172542,7,True
